name	session	legislatorID	wnom_stderr	wnom_adj	adj_mean
Hardcastle	77	25403	0.0831	0.351307418	0.452904188
Hardcastle	78	25403	0.1232	0.396805193	0.452904188
Hardcastle	79	25403	0.0488	0.463244585	0.452904188
Hardcastle	80	25403	0.0637	0.586830368	0.452904188
Hardcastle	81	25403	0.1697	0.559746028	0.452904188
Harless	80	56485	0.0618	0.916351075	0.776342384
Harless	81	56485	0.1554	0.636333693	0.776342384
HarperBrown	78	49633	0.0677	0.925763241	0.942137049
HarperBrown	79	49633	0.0535	0.737653843	0.942137049
HarperBrown	80	49633	0.0009	1.217338202	0.942137049
HarperBrown	81	49633	0.0955	0.887792911	0.942137049
Hartnett	72	5517	0.0592	1	0.776612475
Hartnett	73	5517	0.0987	0.962146767	0.776612475
Hartnett	74	5517	0.0752	0.686948651	0.776612475
Hartnett	75	5517	0.074	0.947496255	0.776612475
Hartnett	76	5517	0.0784	0.872125647	0.776612475
Hartnett	77	5517	0.0906	0.830731166	0.776612475
Hartnett	78	5517	0.1166	0.467909362	0.776612475
Hartnett	79	5517	0.0424	0.886377017	0.776612475
Hartnett	80	5517	0.0661	0.558176393	0.776612475
Hartnett	81	5517	0.1705	0.554213491	0.776612475
HeflinJ	80	57251	0.04	-0.410279787	-0.42666658
HeflinJ	81	57251	0.1333	-0.443053374	-0.42666658
HernandezA	80	59301	0.0465	-1.080638316	-0.980001362
HernandezA	81	59301	0.0592	-0.879364407	-0.980001362
Herrero	79	50002	0.0487	-1.117421315	-1.054608284
Herrero	80	50002	0.0434	-1.183094334	-1.054608284
Herrero	81	50002	0.0593	-0.863309203	-1.054608284
Hilderbran	72	5523	0.0733	0.6187	0.551374048
Hilderbran	73	5523	0.1284	0.695656248	0.551374048
Hilderbran	74	5523	0.0804	0.417002935	0.551374048
Hilderbran	75	5523	0.0641	0.618366209	0.551374048
Hilderbran	76	5523	0.077	0.57302582	0.551374048
Hilderbran	77	5523	0.0853	0.608618147	0.551374048
Hilderbran	78	5523	0.1253	0.335975018	0.551374048
Hilderbran	79	5523	0.0458	0.412884432	0.551374048
Hilderbran	80	5523	0.0664	0.623430402	0.551374048
Hilderbran	81	5523	0.1618	0.610081264	0.551374048
Hochberg	73	5526	0.0887	-0.710185548	-0.740477353
Hochberg	74	5526	0.0793	-0.643791954	-0.740477353
Hochberg	75	5526	0.0934	-0.644851157	-0.740477353
Hochberg	76	5526	0.0851	-0.680850975	-0.740477353
Hochberg	77	5526	0.12	-0.733439576	-0.740477353
Hochberg	78	5526	0.0624	-0.801691674	-0.740477353
